Data,Canal,Visitas,Cliques,Conversões,Custo (R$),Receita (R$)
01/04/2025,Google Ads,150,80,12,"R$ 120,00","R$ 500,00"
01/04/2025,Instagram,100,60,8,"R$ 90,00","R$ 300,00"
02/04/2025,Orgânico,200,100,15,"R$ 140,00","R$ 600,00"
02/04/2025,Facebook Ads,120,70,10,"R$ 100,00","R$ 400,00"
03/04/2025,Google Ads,180,90,14,"R$ 130,00","R$ 550,00"
03/04/2025,Instagram,90,55,9,"R$ 85,00","R$ 320,00"
04/04/2025,Orgânico,210,110,16,"R$ 95,00","R$ 650,00"
04/04/2025,Facebook Ads,130,75,11,"R$ 105,00","R$ 420,00"
05/04/2025,Google Ads,160,85,13,"R$ 125,00","R$ 530,00"
05/04/2025,Instagram,110,65,10,"R$ 95,00","R$ 350,00"
06/04/2025,Orgânico,220,120,17,"R$ 85,00","R$ 700,00"
06/04/2025,Facebook Ads,140,80,12,"R$ 110,00","R$ 450,00"
07/04/2025,Google Ads,170,88,14,"R$ 128,00","R$ 560,00"
07/04/2025,Instagram,120,68,11,"R$ 98,00","R$ 360,00"
08/04/2025,Orgânico,230,130,18,"R$ 95,00","R$ 720,00"
